record_offset,name,extras,subtype,version,size,data_offset
0,SYSTEM.VIN,1,,1,151,17
168,SYSTEM.RES,1,,1,742,185
927,VM.OVL,RES 1,RES,1,14734,944
15678,SX.OVL,RES 1,RES,1,44116,15695
59811,TIM2.SX,ES 1,ES,1,194734,59828
254562,PARTTEMP.PAL,,,,784,254579
255363,TTLDARK.PAL,,,,784,255380
256164,SIERRA03.PAL,,,,784,256181
256965,SIERRA04.PAL,,,,784,256982
257766,SIERRA05.PAL,,,,784,257783
258567,BLACK.PAL,AL,,AL,809,258584
259393,SIERRA.PAL,L,,L,784,259410
260194,SIERRA06.PAL,,,,784,260211
260995,SIERRA07.PAL,,,,784,261012
261796,SIERRA08.PAL,,,,784,261813
262597,SIERRA09.PAL,,,,784,262614
263398,SIERRA10.PAL,,,,784,263415
264199,SIERRA11.PAL,,,,784,264216
265000,SIERRA12.PAL,,,,784,265017
265801,SIERRA13.PAL,,,,784,265818
266602,SIERRA14.PAL,,,,784,266619
267403,SIERRA15.PAL,,,,784,267420
268204,SIERRA16.PAL,,,,784,268221
269005,SIERRA17.PAL,,,,784,269022
269806,SIERRA00.PAL,,,,784,269823
270607,TIM2.PAL,PAL,,PAL,784,270624
271408,TTLLITE.PAL,,,,784,271425
272209,TITLE.PAL,L,,L,784,272226
273010,SIERRA02.PAL,,,,784,273027
273811,TIM.PAL,.PAL,,.PAL,784,273828
274612,TTLMED.PAL,L,,L,784,274629
275413,SIERRA01.PAL,,,,784,275430
276214,INFO.ITF,PAL,,PAL,332,276231
276563,PROG87.ITF,L,,L,1306,276580
277886,HELP.ITF,F L,F,L,489,277903
278392,BINSOLVE.ITF,,,,489,278409
278898,LOADSAVE.ITF,,,,300,278915
279215,MUSICBOX.ITF,,,,739,279232
279971,GOALBAR.ITF,,,,145,279988
280133,PUZZDISP.ITF,,,,449,280150
280599,PARTSBIN.ITF,,,,620,280616
281236,HINT.ITF,ITF,,ITF,345,281253
281598,CNTRLPNL.ITF,,,,432,281615
282047,USERPREF.ITF,,,,598,282064
282662,SIGNIN.ITF,F,,F,375,282679
283054,PUZZSOLV.ITF,,,,275,283071
283346,SOLVE.ITF,TF,,TF,1107,283363
284470,GENERIC.ITF,,,,264,284487
284751,GOALHBAR.ITF,,,,452,284768
285220,DOSADV.ITF,F,,F,372,285237
285609,HEDTOHED.ITF,,,,709,285626
286335,PROG71.ITF,F,,F,212,286352
286564,PROG58.ITF,F,,F,212,286581
286793,PROG108.ITF,,,,313,286810
287123,PROG127.ITF,,,,212,287140
287352,PROG136.ITF,,,,212,287369
287581,PROG137.ITF,,,,212,287598
287810,PROG27.ITF,,,,212,287827
288039,CREDITS.ITF,,,,278,288056
288334,GRAVITY.ITF,,,,546,288351
288897,DOSBIN.ITF,,,,565,288914
289479,DOSBOX.ITF,,,,578,289496
290074,DOSDIR.ITF,,,,222,290091
290313,TOUR.ITF,F,,F,447,290330
290777,PROG4.ITF,,,,212,290794
291006,MAINMENU.ITF,,,,611,291023
291634,PROG54.ITF,F,,F,212,291651
291863,PROG81.ITF,F,,F,212,291880
292092,PROG63.ITF,F,,F,212,292109
292321,PROG80.ITF,F,,F,212,292338
292550,HTLOCK.ITF,F,,F,287,292567
292854,PROG96.ITF,F,,F,212,292871
293083,MAINMENU.ANM,,,,10988,293100
304088,PROFESR2.ANM,,,,31941,304105
336046,BUTTONS.ANM,,,,1670,336063
337733,CNTRLPNL.ANM,,,,1375,337750
339125,GOALBAR.ANM,,,,2238,339142
341380,PART0.ANM,M,,M,244,341397
341641,PART54.ANM,,,,4061,341658
345719,PART46.ANM,,,,537,345736
346273,PART82.ANM,,,,781,346290
347071,PARTSBIN.ANM,,,,1761,347088
348849,PART1.ANM,NM,,NM,536,348866
349402,PART2.ANM,NM,,NM,148,349419
349567,PART4.ANM,NM,,NM,687,349584
350271,PART86.ANM,M,,M,177,350288
350465,PART5.ANM,M,,M,768,350482
351250,PART6.ANM,M,,M,1155,351267
352422,PART7.ANM,M,,M,152,352439
352591,PART8.ANM,M,,M,52,352608
352660,PART9.ANM,M,,M,464,352677
353141,PART10.ANM,M,,M,77,353158
353235,PART11.ANM,M,,M,117,353252
